id,Title,Movie Link,Year,Duration,MPA,Rating,Votes,budget,grossWorldWide,opening_weekend_Gross,genres
tt0082955,Psycho from Texas,https://www.imdb.com/title/tt0082955,1975,1h 29m,R,3.8,389,,,,"['Crime', 'Horror']"
tt0072610,The Adventures of the Wilderness Family,https://www.imdb.com/title/tt0072610,1975,1h 40m,G,6.3,1.9K,,,,"['Mountain Adventure', 'Adventure', 'Drama', 'Family']"
tt0072798,La Collegiale,https://www.imdb.com/title/tt0072798,1975,1h 32m,,3.7,162,,,,['Comedy']
tt0073298,Lisztomania,https://www.imdb.com/title/tt0073298,1975,1h 43m,R,6.1,3.2K,,,,"['Pop Musical', 'Rock Musical', 'Biography', 'Comedy', 'Music', 'Musical']"
tt0072912,The Drowning Pool,https://www.imdb.com/title/tt0072912,1975,1h 48m,PG,6.5,6.4K,2700000.0,,,"['Crime', 'Drama', 'Mystery', 'Thriller']"
tt0073501,Out of Season,https://www.imdb.com/title/tt0073501,1975,1h 30m,R,5.9,607,,,,"['Drama', 'Romance']"
tt0073605,Rancho Deluxe,https://www.imdb.com/title/tt0073605,1975,1h 33m,R,6.3,2.2K,,,,"['Comedy', 'Romance', 'Western']"
tt0073600,Race with the Devil,https://www.imdb.com/title/tt0073600,1975,1h 28m,PG,6.6,7.7K,,,,"['Folk Horror', 'Supernatural Horror', 'Action', 'Drama', 'Horror', 'Thriller']"
tt0080479,Bullet Train,https://www.imdb.com/title/tt0080479,1975,2h 32m,Not Rated,6.8,1.8K,,,,"['Action', 'Crime', 'Drama', 'Thriller']"
tt0073880,Part 2: Walking Tall,https://www.imdb.com/title/tt0073880,1975,1h 49m,PG,6.0,1.6K,,,,"['Action', 'Biography', 'Crime', 'Drama', 'Thriller']"
tt0072812,Conduct Unbecoming,https://www.imdb.com/title/tt0072812,1975,1h 47m,PG,6.5,1.1K,,,,"['Period Drama', 'Crime', 'Drama', 'Mystery']"
tt0073766,The Sunshine Boys,https://www.imdb.com/title/tt0073766,1975,1h 51m,PG,7.1,6.9K,3500000.0,,,"['Sketch Comedy', 'Comedy']"
